Co-term, , , , , , , ,Target,Co-term
Dynasty,shi,han,houhan,sanguo,jiutang,song,ming,Total,Total
喩,0,0,1,1,0,0,0,2,2
靑,0,0,5,3,0,0,0,8,8
亻,0,0,1,0,32,15,29,77,77
卭,0,0,1,0,0,1,0,2,2
琉,0,0,3,1,3,29,244,280,280
璃,0,0,3,1,7,34,29,74,74
漑,0,0,3,0,0,0,0,3,3
粳,0,0,1,0,2,23,4,30,30
鐇,0,0,1,0,3,5,51,60,60
钁,0,0,1,0,0,2,0,3,3
鋣,0,0,1,0,0,0,2,3,3
鍝,0,0,1,0,0,5,0,6,6
尙,0,0,31,0,0,0,0,31,31
値,0,0,2,0,0,0,0,2,2
蝠,0,0,1,0,2,1,0,4,4
奬,0,0,1,0,0,3,1,5,5
愼,0,0,2,1,1,0,0,4,4
眞,0,0,19,4,0,11,0,34,34
痔,0,0,1,0,0,1,1,3,3
,0,0,1,0,1,0,0,2,2
痕,0,0,1,2,7,8,6,24,24
狺,0,0,2,0,2,0,0,4,4
舵,0,0,1,0,0,0,4,5,5
閃,0,0,1,0,2,4,7,14,14
姸,0,0,2,0,0,0,0,2,2
臟,0,0,1,0,2,2,6,11,11
屛,0,0,1,0,0,0,0,1,1
碨,0,0,1,0,0,0,0,1,1
磥,0,0,1,0,0,1,0,2,2
颻,0,0,2,1,3,3,5,14,14
嬋,0,0,1,0,0,1,0,2,2
顔,0,0,3,1,3,0,0,7,7
産,0,0,3,0,1,0,0,4,4
疴,0,0,3,0,0,1,0,4,4
閲,0,0,1,0,4,1,0,6,6
蹀,0,0,1,0,3,6,0,10,10
𨄌,0,0,1,0,0,0,0,1,1
衵,0,0,1,0,1,0,0,2,2
駡,0,0,2,0,1,3,5,11,11
鸚,0,0,2,1,13,23,14,53,53
鵡,0,0,2,1,13,22,14,52,52
瑛,0,0,2,1,25,45,300,373,373
楇,0,0,2,0,0,5,0,7,7
毘,0,0,4,0,0,1,8,13,13
忳,0,0,24,0,0,0,0,24,24
着,0,0,2,1,1,0,0,4,4
粒,0,0,1,0,15,33,35,84,84
鋘,0,0,1,0,0,2,2,5,5
綃,0,0,2,0,1,2,1,6,6
踝,0,0,1,0,1,2,3,7,7
屆,0,0,1,1,6,13,15,36,36
硋,0,0,1,0,0,2,0,3,3
潠,0,0,1,0,0,7,0,8,8
𧭉,0,0,1,0,0,1,0,2,2
甍,0,0,1,0,4,0,2,7,7
斻,0,0,1,0,0,3,0,4,4
筒,0,0,2,0,8,27,21,58,58
昺,0,0,1,1,0,125,62,189,189
旉,0,0,1,1,0,12,0,14,14
齏,0,0,1,1,2,0,5,9,9
恰,0,0,1,0,0,4,8,13,13
鷮,0,0,1,0,0,0,0,1,1
荑,0,0,1,0,0,1,0,2,2
架,0,0,1,0,81,303,47,432,432
挲,0,0,1,0,0,0,0,1,1
鱸,0,0,2,0,0,1,0,3,3
,0,0,1,0,0,0,0,1,1
靣,0,0,1,5,0,0,0,6,6
惙,0,0,1,0,5,2,0,8,8
唌,0,0,2,0,0,0,0,2,2
畒,0,0,2,1,0,0,0,3,3
曝,0,0,1,1,4,5,1,12,12
鷄,0,0,1,0,1,0,0,2,2
峴,0,0,1,1,52,85,15,154,154
鱠,0,0,2,0,3,1,0,6,6
塼,0,0,2,0,2,2,1,7,7
看,0,0,1,5,40,115,22,183,183
𨘷,0,0,1,0,0,1,0,2,2
軶,0,0,1,0,0,0,0,1,1
踟,0,0,1,0,1,0,0,2,2
扄,0,0,1,0,0,1,0,2,2
淲,0,0,1,0,0,7,0,8,8
豽,0,0,4,0,0,0,0,4,4
禭,0,0,1,0,1,2,1,5,5
瓔,0,0,1,1,7,11,3,23,23
諟,0,0,3,0,1,11,7,22,22
姎,0,0,1,0,0,0,0,1,1
賨,0,0,3,4,8,5,1,21,21
耉,0,0,1,0,0,0,0,1,1
畱,0,0,4,0,0,0,0,4,4
幏,0,0,2,0,0,0,0,2,2
潳,0,0,1,0,0,0,1,2,2
鋭,0,0,1,0,4,1,0,6,6
楡,0,0,4,0,0,0,0,4,4
忲,0,0,1,0,0,0,0,1,1
梇,0,0,2,0,0,0,0,2,2
瀘,0,0,1,2,40,175,68,286,286
茤,0,0,5,0,0,0,0,5,5
毲,0,0,2,0,0,0,0,2,2
綾,0,0,2,5,71,145,21,244,244
猩,0,0,2,0,2,0,0,4,4
糹,0,0,2,0,0,0,11,13,13
僧,0,0,1,0,430,626,417,1474,1474
揀,0,0,1,1,17,212,9,240,240
螺,0,0,3,0,3,11,24,41,41
滬,0,0,1,0,2,50,9,62,62
磻,0,0,1,0,3,23,1,28,28
顡,0,0,1,0,0,0,0,1,1
毦,0,0,2,1,0,1,0,4,4
麝,0,0,1,0,6,24,2,33,33
毞,0,0,1,0,0,0,0,1,1
羧,0,0,1,0,0,0,0,1,1
麡,0,0,1,0,0,0,0,1,1
蜜,0,0,2,0,5,18,10,35,35
頁,0,0,1,0,3,1,2,7,7
彡,0,0,2,1,0,0,1,4,4
湳,0,0,5,0,0,3,8,16,16
匆,0,0,1,1,1,1,0,4,4
頵,0,0,2,1,3,23,0,29,29
叚,0,0,2,0,0,0,1,3,3
毾,0,0,1,0,0,0,0,1,1
氍,0,0,1,0,0,0,1,2,2
蝸,0,0,1,0,1,3,0,5,5
逷,0,0,1,0,0,7,1,9,9
韥,0,0,1,0,0,0,0,1,1
栽,0,0,1,1,6,6,8,22,22
䤈,0,0,2,0,0,0,0,2,2
獯,0,0,1,1,8,2,0,12,12
簂,0,0,2,0,0,0,0,2,2
氀,0,0,3,0,0,0,0,3,3
毼,0,0,3,1,0,2,5,11,11
穄,0,0,2,1,0,3,4,10,10
幗,0,0,2,0,1,1,1,5,5
搫,0,0,1,0,0,0,0,1,1
蠟,0,0,1,0,22,138,40,201,201
鼲,0,0,3,1,0,0,0,4,4
瀚,0,0,2,1,38,31,131,203,203
蚧,0,0,2,0,0,0,0,2,2
瘭,0,0,2,0,0,0,0,2,2
䠞,0,0,2,0,0,0,0,2,2
疸,0,0,1,0,0,0,0,1,1
鄅,0,0,2,0,4,0,0,6,6
穜,0,0,3,0,1,14,4,22,22
稑,0,0,2,0,0,12,1,15,15
饐,0,0,1,0,0,0,0,1,1
禊,0,0,4,0,3,3,0,10,10
罶,0,0,4,0,0,0,0,4,4
溜,0,0,3,1,3,2,29,38,38
鐃,0,0,3,1,6,40,10,60,60
鐲,0,0,1,0,0,8,9,18,18
胇,0,0,1,0,0,0,0,1,1
嚾,0,0,1,1,0,0,0,2,2
桁,0,0,2,0,0,2,4,8,8
甒,0,0,1,0,2,1,1,5,5
鐙,0,0,2,0,4,37,14,57,57
輖,0,0,1,0,0,5,0,6,6
匜,0,0,1,0,3,7,0,11,11
鎛,0,0,1,0,53,76,1,131,131
箎,0,0,1,0,0,8,0,9,9
敔,0,0,1,0,9,19,10,39,39
壝,0,0,2,0,23,111,50,186,186
釒,0,0,2,0,1,20,31,54,54
礻,0,0,3,0,11,13,5,32,32
紊,0,0,1,0,56,51,22,130,130
碗,0,0,1,0,7,18,40,66,66
畧,0,0,2,5,6,6,0,19,19
粧,0,0,3,0,0,0,0,3,3
騤,0,0,2,0,0,33,0,35,35
奼,0,0,2,0,0,0,0,2,2
虣,0,0,3,0,0,0,0,3,3
昉,0,0,2,0,9,285,30,326,326
瞉,0,0,1,0,0,0,0,1,1
釵,0,0,1,0,8,30,26,65,65
杉,0,0,1,0,0,13,39,53,53
嘴,0,0,1,0,1,0,21,23,23
酗,0,0,1,1,0,6,8,16,16
睪,0,0,2,0,0,5,0,7,7
騩,0,0,1,0,0,1,0,2,2
涑,0,0,1,0,2,6,13,22,22
夌,0,0,1,0,1,0,1,3,3
惤,0,0,1,0,0,0,0,1,1
拼,0,0,1,0,0,0,1,2,2
傂,0,0,1,0,0,5,0,6,6
隲,0,0,1,2,0,2,0,5,5
儛,0,0,1,0,0,1,0,2,2
鑣,0,0,4,1,4,13,30,52,52
軛,0,0,5,0,0,3,0,8,8
𣝛,0,0,4,0,0,0,0,4,4
鍐,0,0,1,0,3,1,0,5,5
鋄,0,0,1,0,0,0,0,1,1
釳,0,0,2,0,3,1,0,6,6
𨏟,0,0,3,0,0,0,0,3,3
箙,0,0,3,0,0,4,0,7,7
輞,0,0,1,0,3,0,7,11,11
輫,0,0,1,0,0,0,0,1,1
槓,0,0,2,0,0,25,1,28,28
璅,0,0,1,1,0,7,0,9,9
𦁕,0,0,1,0,0,0,0,1,1
鏚,0,0,1,0,6,3,2,12,12
獬,0,0,2,0,7,34,9,52,52
邐,0,0,1,0,2,10,3,16,16
頍,0,0,2,0,0,0,0,2,2
袙,0,0,1,0,0,0,0,1,1
摞,0,0,2,0,0,0,0,2,2
璲,0,0,4,0,5,20,7,36,36
鞙,0,0,2,0,0,1,0,3,3
綔,0,0,2,0,0,0,0,2,2
鐍,0,0,2,0,4,10,3,19,19
絛,0,0,2,0,10,45,21,78,78
蔮,0,0,3,0,0,0,0,3,3
鑷,0,0,1,0,0,2,2,5,5
珈,0,0,1,0,0,10,2,13,13
緗,0,0,1,0,8,4,0,13,13
襈,0,0,1,0,14,21,30,66,66
襂,0,0,1,0,0,0,0,1,1
緍,0,0,0,1,0,1,0,2,2
塠,0,0,0,1,2,3,0,6,6
珎,0,0,0,2,0,4,0,6,6
泒,0,0,0,1,0,2,0,3,3
泃,0,0,0,1,3,0,5,9,9
渦,0,0,0,2,6,40,48,96,96
𢢼,0,0,0,1,0,0,0,1,1
眎,0,0,0,1,1,0,1,3,3
貃,0,0,0,1,0,0,0,1,1
頴,0,0,0,7,0,16,0,23,23
冏,0,0,0,3,6,1,4,14,14
曁,0,0,0,20,0,29,1,50,50
漲,0,0,0,1,52,241,137,431,431
𨵦,0,0,0,1,0,0,0,1,1
鉼,0,0,0,1,0,0,0,1,1
靮,0,0,0,1,3,1,0,5,5
歘,0,0,0,1,0,0,0,1,1
熈,0,0,0,23,0,0,0,23,23
輙,0,0,0,18,0,8,0,26,26
瓘,0,0,0,7,80,165,7,259,259
琇,0,0,0,3,47,15,18,83,83
欵,0,0,0,1,3,3,1,8,8
韡,0,0,0,1,0,66,1,68,68
侐,0,0,0,1,0,8,0,9,9
砲,0,0,0,1,6,14,104,125,125
烙,0,0,0,1,2,4,17,24,24
噹,0,0,0,1,0,0,0,1,1
硤,0,0,0,1,61,19,10,91,91
堰,0,0,0,6,36,294,155,491,491
鑢,0,0,0,1,1,2,1,5,5
烱,0,0,0,2,2,2,0,6,6
〔,0,0,0,21,0,0,0,21,21
琪,0,0,0,1,13,190,9,213,213
蛑,0,0,0,1,0,0,0,1,1
琙,0,0,0,3,0,6,1,10,10
廙,0,0,0,24,2,6,0,32,32
湏,0,0,0,1,2,1,0,4,4
蹹,0,0,0,1,0,0,0,1,1
皚,0,0,0,2,1,1,2,6,6
牣,0,0,0,1,2,4,4,11,11
繾,0,0,0,1,0,0,0,1,1
綣,0,0,0,1,1,0,0,2,2
恡,0,0,0,1,0,2,0,3,3
甝,0,0,0,2,2,0,0,4,4
霬,0,0,0,4,0,0,0,4,4
俁,0,0,0,2,0,48,0,50,50
詵,0,0,0,3,38,113,5,159,159
𦳣,0,0,0,1,0,0,0,1,1
謩,0,0,0,1,34,6,0,41,41
姧,0,0,0,8,0,0,0,8,8
蓨,0,0,0,1,0,1,0,2,2
濘,0,0,0,1,4,19,5,29,29
辿,0,0,0,3,0,9,0,12,12
怔,0,0,0,1,0,0,0,1,1
裠,0,0,0,1,0,2,0,3,3
姤,0,0,0,1,1,1,0,3,3
篳,0,0,0,1,19,8,0,28,28
臶,0,0,0,10,0,0,0,10,10
鵀,0,0,0,2,0,0,0,2,2
褶,0,0,0,3,26,20,2,51,51
鍊,0,0,0,1,1,14,9,25,25
玠,0,0,0,34,30,351,67,482,482
,0,0,0,1,0,2,1,4,4
齠,0,0,0,1,0,2,1,4,4
熯,0,0,0,1,0,4,0,5,5
墐,0,0,0,1,0,6,5,12,12
晟,0,0,0,6,458,186,217,867,867
舁,0,0,0,1,12,36,48,97,97
氊,0,0,0,1,0,3,0,4,4
莚,0,0,0,1,0,0,0,1,1
殍,0,0,0,2,8,35,5,50,50
鉉,0,0,0,1,45,120,116,282,282
恠,0,0,0,2,0,1,0,3,3
氶,0,0,0,1,0,0,0,1,1
攰,0,0,0,1,0,0,0,1,1
洵,0,0,0,3,35,116,58,212,212
堨,0,0,0,3,0,5,2,10,10
怎,0,0,0,1,0,0,0,1,1
衤,0,0,0,2,4,27,19,52,52
掐,0,0,0,1,0,0,0,1,1
郖,0,0,0,1,0,0,0,1,1
村,0,0,0,2,52,318,358,730,730
曨,0,0,0,1,0,4,7,12,12
窄,0,0,0,1,3,51,29,84,84
炅,0,0,0,5,72,2,14,93,93
痴,0,0,0,2,2,0,2,6,6
伴,0,0,0,4,9,149,57,219,219
撩,0,0,0,1,1,16,0,18,18
狟,0,0,0,1,0,0,0,1,1
邱,0,0,0,2,9,5,55,71,71
◎,0,0,0,4,0,2,0,6,6
簏,0,0,0,2,0,2,3,7,7
頠,0,0,0,2,6,0,1,9,9
韻,0,0,0,2,69,129,47,247,247
衄,0,0,0,3,20,55,21,99,99
齷,0,0,0,1,8,6,0,15,15
澳,0,0,0,1,25,24,66,116,116
侻,0,0,0,2,0,2,0,4,4
帊,0,0,0,1,0,3,0,4,4
嵇,0,0,0,8,10,13,1,32,32
榲,0,0,0,1,0,1,0,2,2
剉,0,0,0,1,2,4,3,10,10
,0,0,0,1,22,5,7,35,35
巹,0,0,0,1,0,4,23,28,28
珽,0,0,0,2,17,10,5,34,34
堡,0,0,0,1,120,811,655,1587,1587
,0,0,0,1,0,0,0,1,1
狥,0,0,0,1,2,4,0,7,7
悒,0,0,0,5,6,7,27,45,45
祏,0,0,0,1,95,19,3,118,118
牋,0,0,0,3,0,3,3,9,9
澁,0,0,0,1,1,2,0,4,4
兎,0,0,0,2,0,0,0,2,2
榎,0,0,0,1,1,5,0,7,7
鬩,0,0,0,2,1,1,0,4,4
齓,0,0,0,1,0,0,0,1,1
𧛕,0,0,0,1,0,0,0,1,1
閴,0,0,0,1,0,0,0,1,1
萐,0,0,0,1,0,3,0,4,4
莆,0,0,0,1,4,40,65,110,110
珷,0,0,0,1,0,10,0,11,11
玞,0,0,0,1,0,6,0,7,7
攪,0,0,0,1,2,3,1,7,7
瘤,0,0,0,1,2,1,2,6,6
倣,0,0,0,2,10,12,5,29,29
乹,0,0,0,2,0,0,0,2,2
絙,0,0,0,1,0,1,0,2,2
眸,0,0,0,1,2,3,1,7,7
㡊,0,0,0,1,0,0,0,1,1
呻,0,0,0,2,2,5,7,16,16
𩥄,0,0,0,1,0,0,0,1,1
哂,0,0,0,2,8,9,6,25,25
,0,0,0,1,0,0,0,1,1
甓,0,0,0,1,1,19,16,37,37
嘖,0,0,0,2,0,2,4,8,8
魎,0,0,0,2,1,0,0,3,3
肫,0,0,0,1,1,2,5,9,9
覓,0,0,0,1,5,7,32,45,45
窠,0,0,0,2,5,49,5,61,61
蛛,0,0,0,2,0,0,1,3,3
觫,0,0,0,1,0,0,0,1,1
蛹,0,0,0,1,0,0,0,1,1
苲,0,0,0,1,0,0,0,1,1
䥶,0,0,0,1,0,0,0,1,1
鑡,0,0,0,7,0,0,4,11,11
楺,0,0,0,1,0,1,0,2,2
橿,0,0,0,1,0,3,0,4,4
筱,0,0,0,2,0,1,1,4,4
簳,0,0,0,1,0,0,1,2,2
蒨,0,0,0,1,3,5,18,27,27
𤝔,0,0,0,1,0,0,0,1,1
蓆,0,0,0,1,0,1,3,5,5
枊,0,0,0,1,0,1,0,2,2
羕,0,0,0,29,1,0,1,31,31
郺,0,0,0,3,0,0,0,3,3
苒,0,0,0,1,2,1,0,4,4
乿,0,0,0,1,0,0,0,1,1
畊,0,0,0,1,0,3,0,4,4
獗,0,0,0,1,1,28,40,70,70
﹔,0,0,0,15,0,0,0,15,15
疼,0,0,0,1,0,0,0,1,1
劈,0,0,0,1,2,7,11,21,21
勣,0,0,0,1,271,63,33,368,368
︰,0,0,0,46,0,2,0,48,48
查,0,0,0,3,2,21,38,64,64
濃,0,0,0,5,5,17,8,35,35
﹗,0,0,0,15,0,0,0,15,15
惔,0,0,0,1,2,6,0,9,9
庲,0,0,0,8,0,4,0,12,12
趑,0,0,0,1,1,0,1,3,3
趄,0,0,0,1,1,1,1,4,4
囗,0,0,0,1,1,9,0,11,11
峽,0,0,0,3,47,333,178,561,561
做,0,0,0,1,0,1,11,13,13
攇,0,0,0,1,0,0,0,1,1
菉,0,0,0,1,0,0,1,2,2
衺,0,0,0,1,0,5,0,6,6
籜,0,0,0,1,0,2,3,6,6
篙,0,0,0,1,0,9,0,10,10
鬆,0,0,0,1,3,42,122,168,168
厷,0,0,0,9,0,3,2,14,14
─,0,0,0,64,0,0,68,132,132
峰,0,0,0,1,40,71,85,197,197
黟,0,0,0,4,3,4,7,18,18
庱,0,0,0,1,2,0,0,3,3
麽,0,0,0,1,0,0,0,1,1
麼,0,0,0,1,2,23,19,45,45
孼,0,0,0,1,0,0,0,1,1
衜,0,0,0,4,0,4,0,8,8
楞,0,0,0,1,1,9,19,30,30
𩅦,0,0,0,2,0,0,0,2,2
珝,0,0,0,5,4,28,51,88,88
噂,0,0,0,1,1,5,2,9,9
𠴲,0,0,0,1,0,0,0,1,1
䵋,0,0,0,4,0,0,0,4,4
廞,0,0,0,3,1,2,0,6,6
蕉,0,0,0,1,1,14,10,26,26
誧,0,0,0,1,0,6,1,8,8
煚,0,0,0,1,9,16,0,26,26
泭,0,0,0,1,0,1,1,3,3
港,0,0,0,1,2,122,248,373,373
摴,0,0,0,1,0,0,0,1,1
愾,0,0,0,1,2,5,7,15,15
髲,0,0,0,1,0,1,0,2,2
滉,0,0,0,1,112,9,2,124,124
艦,0,0,0,4,16,102,74,196,196
陡,0,0,0,1,0,4,27,32,32
舸,0,0,0,4,4,7,14,29,29
擽,0,0,0,1,0,0,0,1,1
撤,0,0,0,3,20,85,245,353,353
𦩷,0,0,0,1,0,0,0,1,1
𦪇,0,0,0,1,0,0,0,1,1
栟,0,0,0,1,0,6,2,9,9
矴,0,0,0,1,0,3,0,4,4
盌,0,0,0,3,0,0,0,3,3
纜,0,0,0,1,0,7,1,9,9
筏,0,0,0,2,6,31,18,57,57
廨,0,0,0,1,51,61,55,168,168
嗔,0,0,0,1,6,2,6,15,15
寨,0,0,0,1,8,5,989,1003,1003
躒,0,0,0,1,0,0,0,1,1
鴨,0,0,0,1,13,8,55,77,77
涎,0,0,0,1,0,4,14,19,19
邏,0,0,0,1,58,61,52,172,172
葑,0,0,0,1,0,23,7,31,31
妬,0,0,0,1,0,2,0,3,3
俌,0,0,0,1,2,9,13,25,25
斆,0,0,0,1,0,6,1,8,8
笁,0,0,0,4,0,2,0,6,6
忩,0,0,0,2,0,1,0,3,3
芽,0,0,0,2,1,13,7,23,23
伀,0,0,0,1,0,6,0,7,7
繋,0,0,0,2,4,0,0,6,6
褘,0,0,0,1,4,0,0,5,5
-,0,0,0,1,1,1,0,3,3
樣,0,0,0,2,27,66,37,132,132
廳,0,0,0,1,47,165,105,318,318
篾,0,0,0,1,1,5,1,8,8
辣,0,0,0,1,0,12,1,14,14
幫,0,0,0,1,0,5,9,15,15
錙,0,0,0,2,8,9,12,31,31
賭,0,0,0,1,4,2,1,8,8
罫,0,0,0,1,0,0,0,1,1
荈,0,0,0,1,0,3,0,4,4
筠,0,0,0,0,79,375,24,478,478
彜,0,0,0,0,53,3,77,133,133
洺,0,0,0,0,175,139,18,332,332
銑,0,0,0,0,144,10,119,273,273
迦,0,0,0,0,44,16,10,70,70
懺,0,0,0,0,2,5,5,12,12
剃,0,0,0,0,4,4,4,12,12
闤,0,0,0,0,2,12,4,18,18
闠,0,0,0,0,2,11,4,17,17
伽,0,0,0,0,82,27,24,133,133
鄽,0,0,0,0,2,1,0,3,3
膻,0,0,0,0,3,7,0,10,10
焰,0,0,0,0,18,49,56,123,123
剗,0,0,0,0,3,17,6,26,26
鷂,0,0,0,0,9,12,14,35,35
墌,0,0,0,0,14,4,1,19,19
,0,0,0,0,6,0,1,7,7
咬,0,0,0,0,5,2,19,26,26
靺,0,0,0,0,60,1,0,61,61
院,0,0,0,0,418,5289,912,6619,6619
緋,0,0,0,0,106,312,31,449,449
缽,0,0,0,0,50,15,8,73,73
戡,0,0,0,0,34,77,21,132,132
獍,0,0,0,0,11,0,2,13,13
獅,0,0,0,0,13,18,79,110,110
霪,0,0,0,0,3,7,50,60,60
滁,0,0,0,0,30,197,152,379,379
槲,0,0,0,0,2,2,1,5,5
霫,0,0,0,0,7,7,0,14,14
琯,0,0,0,0,122,21,14,157,157
闍,0,0,0,0,12,20,17,49,49
礎,0,0,0,0,10,5,2,17,17
罄,0,0,0,0,58,37,28,123,123
垛,0,0,0,0,4,23,12,39,39
滹,0,0,0,0,4,24,70,98,98
琥,0,0,0,0,7,47,28,82,82
珀,0,0,0,0,5,22,7,34,34
碼,0,0,0,0,2,1,0,3,3
瑙,0,0,0,0,5,12,34,51,51
彟,0,0,0,0,4,0,0,4,4
奘,0,0,0,0,9,3,0,12,12
咥,0,0,0,0,32,1,0,33,33
麩,0,0,0,0,1,14,1,16,16
,0,0,0,0,3,0,0,3,3
袋,0,0,0,0,170,66,6,242,242
痁,0,0,0,0,1,0,0,1,1
鍮,0,0,0,0,6,15,0,21,21
玻,0,0,0,0,4,12,8,24,24
疹,0,0,0,0,10,3,3,16,16
糙,0,0,0,0,5,1,1,7,7
暕,0,0,0,0,17,1,0,18,18
姨,0,0,0,0,47,7,6,60,60
晫,0,0,0,0,2,10,0,12,12
曌,0,0,0,0,4,0,2,6,6
彠,0,0,0,0,2,2,0,4,4
宸,0,0,0,0,141,276,390,807,807
璹,0,0,0,0,84,53,8,145,145
翽,0,0,0,0,16,4,1,21,21
麞,0,0,0,0,11,3,4,18,18
璟,0,0,0,0,180,34,220,434,434
暐,0,0,0,0,70,12,9,91,91
珣,0,0,0,0,74,73,47,194,194
潑,0,0,0,0,8,3,5,16,16
瀧,0,0,0,0,39,10,24,73,73
湜,0,0,0,0,94,107,17,218,218
煽,0,0,0,0,2,7,61,70,70
棸,0,0,0,0,3,3,0,6,6
楀,0,0,0,0,3,7,4,14,14
,0,0,0,0,3,8,2,13,13
鞢,0,0,0,0,1,3,0,4,4
衫,0,0,0,0,38,148,72,258,258
硎,0,0,0,0,2,1,2,5,5
畋,0,0,0,0,148,104,7,259,259
靄,0,0,0,0,5,17,19,41,41
撒,0,0,0,0,2,76,316,394,394
灤,0,0,0,0,3,8,68,79,79
晙,0,0,0,0,79,13,5,97,97
舶,0,0,0,0,13,177,97,287,287
捴,0,0,0,0,35,9,7,51,51
,0,0,0,0,5,0,0,5,5
頲,0,0,0,0,56,1,1,58,58
涺,0,0,0,0,2,2,0,4,4
萼,0,0,0,0,30,16,320,366,366
硉,0,0,0,0,2,0,0,2,2
瀼,0,0,0,0,14,9,4,27,27
泚,0,0,0,0,329,12,1,342,342
潓,0,0,0,0,4,5,1,10,10
漩,0,0,0,0,1,1,1,3,3
玭,0,0,0,0,17,29,1,47,47
珙,0,0,0,0,72,236,38,346,346
,0,0,0,0,23,1,6,30,30
捺,0,0,0,0,1,10,2,13,13
㩧,0,0,0,0,1,0,0,1,1
馹,0,0,0,0,2,16,0,18,18
𤤺,0,0,0,0,2,2,0,4,4
鄎,0,0,0,0,1,0,0,1,1
諗,0,0,0,0,10,14,6,30,30
淙,0,0,0,0,2,31,3,36,36
佶,0,0,0,0,63,37,10,110,110
店,0,0,0,0,34,61,130,225,225
穩,0,0,0,0,16,9,9,34,34
琄,0,0,0,0,7,11,0,18,18
鉷,0,0,0,0,101,2,3,106,106
袱,0,0,0,0,2,4,12,18,18
銲,0,0,0,0,17,5,1,23,23
垍,0,0,0,0,103,17,12,132,132
洱,0,0,0,0,5,1,30,36,36
憕,0,0,0,0,30,6,0,36,36
璬,0,0,0,0,15,5,0,20,20
崗,0,0,0,0,10,7,8,25,25
哇,0,0,0,0,4,6,111,121,121
膜,0,0,0,0,4,7,5,16,16
,0,0,0,0,1,0,0,1,1
漪,0,0,0,0,9,5,2,16,16
涵,0,0,0,0,52,38,30,120,120
寀,0,0,0,0,11,59,93,163,163
洏,0,0,0,0,1,0,0,1,1
峘,0,0,0,0,53,2,6,61,61
侁,0,0,0,0,8,85,0,93,93
訚,0,0,0,0,1,0,0,1,1
忭,0,0,0,0,39,3,35,77,77
棚,0,0,0,0,13,26,12,51,51
僴,0,0,0,0,10,11,0,21,21
侹,0,0,0,0,7,4,1,12,12
僙,0,0,0,0,4,3,0,7,7
佋,0,0,0,0,17,9,0,26,26
娘,0,0,0,0,36,16,37,89,89
諲,0,0,0,0,77,93,3,173,173
偲,0,0,0,0,6,29,1,36,36
簨,0,0,0,0,6,13,0,19,19
,0,0,0,0,29,0,0,29,29
澈,0,0,0,0,10,117,3,130,130
烜,0,0,0,0,5,10,13,28,28
傪,0,0,0,0,11,9,0,20,20
阝,0,0,0,0,10,6,23,39,39
鈿,0,0,0,0,32,18,37,87,87
璀,0,0,0,0,91,10,1,102,102
旪,0,0,0,0,1,0,0,1,1
另,0,0,0,0,2,0,23,25,25
巙,0,0,0,0,4,0,0,4,4
憸,0,0,0,0,13,49,28,90,90
汀,0,0,0,0,24,161,96,281,281
瘵,0,0,0,0,12,16,7,35,35
件,0,0,0,0,48,28,27,103,103
狴,0,0,0,0,9,3,6,18,18
捭,0,0,0,0,2,9,0,11,11
漵,0,0,0,0,22,4,10,36,36
透,0,0,0,0,4,100,4,108,108
繝,0,0,0,0,1,0,0,1,1
蝙,0,0,0,0,2,1,0,3,3
琿,0,0,0,0,1,4,21,26,26
藎,0,0,0,0,13,22,27,62,62
瑝,0,0,0,0,12,9,0,21,21
崿,0,0,0,0,18,4,3,25,25
秤,0,0,0,0,6,24,5,35,35
磁,0,0,0,0,71,137,54,262,262
搞,0,0,0,0,1,0,0,1,1
紞,0,0,0,0,1,6,31,38,38
碾,0,0,0,0,11,13,9,33,33
滴,0,0,0,0,8,12,37,57,57
貓,0,0,0,0,23,17,31,71,71
翃,0,0,0,0,44,2,0,46,46
芃,0,0,0,0,33,4,1,38,38
,0,0,0,0,3,0,3,6,6
蒻,0,0,0,0,1,1,0,2,2
溵,0,0,0,0,58,0,3,61,61
惎,0,0,0,0,7,13,6,26,26
禛,0,0,0,0,3,4,0,7,7
濠,0,0,0,0,71,299,446,816,816
腆,0,0,0,0,6,20,7,33,33
憬,0,0,0,0,60,0,1,61,61
麚,0,0,0,0,2,0,0,2,2
晴,0,0,0,0,19,29,16,64,64
钅,0,0,0,0,14,2,0,16,16
扌,0,0,0,0,24,5,5,34,34
玨,0,0,0,0,75,40,33,148,148
怦,0,0,0,0,20,4,2,26,26
勘,0,0,0,0,56,394,544,994,994
堠,0,0,0,0,9,50,30,89,89
謜,0,0,0,0,8,8,3,19,19
鶻,0,0,0,0,98,102,10,210,210
,0,0,0,0,2,0,0,2,2
澭,0,0,0,0,18,2,1,21,21
槊,0,0,0,0,32,175,33,240,240
暄,0,0,0,0,12,19,9,40,40
頔,0,0,0,0,70,22,0,92,92
馱,0,0,0,0,7,18,15,40,40
淘,0,0,0,0,4,31,9,44,44
巘,0,0,0,0,2,17,9,28,28
涚,0,0,0,0,19,1,0,20,20
圵,0,0,0,0,2,0,0,2,2
砦,0,0,0,0,17,2053,112,2182,2182
槧,0,0,0,0,2,2,0,4,4
諴,0,0,0,0,28,7,0,35,35
浼,0,0,0,0,3,5,3,11,11
湑,0,0,0,0,5,10,5,20,20
絿,0,0,0,0,3,4,0,7,7
繟,0,0,0,0,1,0,0,1,1
,0,0,0,0,2,0,3,5,5
塌,0,0,0,0,1,14,38,53,53
卅,0,0,0,0,2,0,0,2,2
